n_estimators,max_depth,criterion,min_samples_split,min_samples_leaf,max_features,bootstrap,accuracy,precision,recall,f1
10,10,gini,2,1,,True,0.7658006014969586,0.7616128573742547,0.7658006014969586,0.7630615551137722
10,10,gini,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
10,10,entropy,2,1,,True,0.7661397915112046,0.7615437855575629,0.7661397915112046,0.7630197492277121
10,10,entropy,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
10,15,gini,2,1,,True,0.7596047305700654,0.7549662367146222,0.7596047305700654,0.7565372019823562
10,15,gini,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
10,15,entropy,2,1,,True,0.7616624833231577,0.7567996893840294,0.7616624833231577,0.7583557921674451
10,15,entropy,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
10,20,gini,2,1,,True,0.7426000045225335,0.7381494892581745,0.7426000045225335,0.739854264402144
10,20,gini,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
10,20,entropy,2,1,,True,0.7453135246365014,0.7407471661987962,0.7453135246365014,0.7424558260646466
10,20,entropy,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
20,10,gini,2,1,,True,0.7670216855482441,0.7615277558712081,0.7670216855482441,0.7629076137344871
20,10,gini,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
20,10,entropy,2,1,,True,0.7685819596137756,0.7628158483936657,0.7685819596137756,0.7640498765189744
20,10,entropy,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
20,15,gini,2,1,,True,0.7613911313117608,0.7566588876373773,0.7613911313117608,0.7582127973493437
20,15,gini,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
20,15,entropy,2,1,,True,0.7633584333943876,0.7581636211731528,0.7633584333943876,0.7596837544548373
20,15,entropy,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
20,20,gini,2,1,,True,0.7444090179318454,0.7397871753969624,0.7444090179318454,0.7415148557265805
20,20,gini,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
20,20,entropy,2,1,,True,0.7474843407276757,0.7427658879642912,0.7474843407276757,0.7444839239338338
20,20,entropy,2,1,sqrt,True,0.6667797300047487,0.44459520834520555,0.6667797300047487,0.5334780599280973
30,10,gini,2,1,,True,0.7673834882301065,0.7619254768578503,0.7673834882301065,0.7633019609380366
30,10,gini,2,1,sqrt,True,0.6805960699183683,0.7382604915413439,0.6805960699183683,0.5686970898891669
30,10,entropy,2,1,,True,0.7678809669176673,0.7620128719817644,0.7678809669176673,0.7632358331198221
30,10,entropy,2,1,sqrt,True,0.6802794925717387,0.7381846235194776,0.6802794925717387,0.5679165695148733
30,15,gini,2,1,,True,0.76202428600502,0.7569656562751043,0.76202428600502,0.7585178689509844
30,15,gini,2,1,sqrt,True,0.6803247179069715,0.7366320880705256,0.6803247179069715,0.5682248847403687
30,15,entropy,2,1,,True,0.7636976234086336,0.7585953944527298,0.7636976234086336,0.7601132927916042
30,15,entropy,2,1,sqrt,True,0.6804377812450535,0.7358749381001984,0.6804377812450535,0.5686066076838407
30,20,gini,2,1,,True,0.7455622639802818,0.7409987595805609,0.7455622639802818,0.7427047385885864
30,20,gini,2,1,sqrt,True,0.6801438165660403,0.7372129589338242,0.6801438165660403,0.5676978369474626
30,20,entropy,2,1,,True,0.7485923614408792,0.7438746511511172,0.7485923614408792,0.7455815878214765
30,20,entropy,2,1,sqrt,True,0.6801438165660403,0.7372129589338242,0.6801438165660403,0.5676978369474626
